source_id,source_type,target_id,target_type,link_reason,owning_spec,status,source_file,source_line
CF-D1-008,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,104
CF-D1-008,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,104
CF-D1-009,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-009,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,105
CF-D1-009,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,105
CF-D1-009,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,105
CF-D1-010,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-010,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,106
CF-D1-010,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,106
CF-D1-010,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,106
CF-D1-011,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-011,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,107
CF-D1-011,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,107
CF-D1-012,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-D1-012,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,108
CF-DO-001,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-001,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,73
CF-DO-001,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,73
CF-DO-001,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,73
CF-DO-001,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,73
CF-DO-001,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,73
CF-DO-002,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-002,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,74
CF-DO-002,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,74
CF-DO-002,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,74
CF-DO-002,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,74
CF-DO-003,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-003,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,75
CF-DO-003,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,75
CF-DO-003,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,75
CF-DO-003,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,75
CF-DO-003,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,75
CF-DO-004,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-004,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,76
CF-DO-004,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,76
CF-DO-004,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,76
CF-DO-004,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,76
CF-DO-004,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,76
CF-DO-005,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-005,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,77
CF-DO-005,constraint,SPEC-23,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,77
CF-DO-005,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,77
CF-DO-006,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-006,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,78
CF-DO-006,constraint,SPEC-24,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,78
CF-DO-006,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,78
CF-DO-007,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-007,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,79
CF-DO-007,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,79
CF-DO-007,constraint,SPEC-24,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,79
CF-DO-007,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,79
CF-DO-007,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,79
CF-DO-007,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,79
CF-DO-008,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-008,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,80
CF-DO-008,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,80
CF-DO-008,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,80
CF-DO-008,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,80
CF-DO-009,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-009,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,81
CF-DO-009,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,81
CF-DO-009,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,81
CF-DO-010,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-010,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,82
CF-DO-010,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,82
CF-DO-010,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,82
CF-DO-011,constraint,EVID-COST-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,67
CF-DO-011,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-011,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,83
CF-DO-012,constraint,EVID-COST-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,67
CF-DO-012,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-012,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,84
CF-DO-013,constraint,EVID-COST-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,67
CF-DO-013,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-013,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,85
CF-DO-013,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,85
CF-DO-013,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,85
CF-DO-013,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,85
CF-DO-014,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-014,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,86
CF-DO-014,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,86
CF-DO-014,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,86
CF-DO-014,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,86
CF-DO-014,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,86
CF-DO-014,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,86
CF-DO-015,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-015,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,87
CF-DO-015,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,87
CF-DO-015,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,87
CF-DO-015,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,87
CF-DO-015,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,87
CF-DO-016,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-016,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,88
CF-DO-016,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,88
CF-DO-016,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,88
CF-DO-016,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,88
CF-DO-017,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-017,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,89
CF-DO-017,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,89
CF-DO-017,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,89
CF-DO-018,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-018,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,90
CF-DO-018,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,90
CF-DO-018,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,90
CF-DO-018,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,90
CF-DO-019,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-DO-019,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,91
CF-DO-019,constraint,SPEC-23,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,91
CF-DO-019,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,91
CF-DO-019,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,91
CF-DO-019,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,91
CF-KV-001,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-KV-001,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,114
CF-KV-001,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,114
CF-KV-001,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,114
CF-KV-001,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,114
CF-KV-001,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,114
CF-KV-001,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,114
CF-KV-002,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-KV-002,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,115
CF-KV-002,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,115
CF-KV-002,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,115
CF-KV-002,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,115
CF-KV-003,constraint,EVID-COST-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,67
CF-KV-003,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-KV-003,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,116
CF-NET-001,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-NET-001,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,142
CF-NET-001,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,142
CF-NET-002,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-NET-002,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,143
CF-NET-002,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,143
CF-NET-003,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-NET-003,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,144
CF-NET-003,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,144
CF-NET-004,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-NET-004,constraint,SPEC-40,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,145
CF-NET-004,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,145
CF-NET-005,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-NET-005,constraint,SPEC-40,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,146
CF-NET-005,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,146
CF-NET-006,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-NET-006,constraint,SPEC-40,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,147
CF-NET-006,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,147
CF-QUE-001,constraint,EVID-COST-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,67
CF-QUE-001,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-QUE-001,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,134
CF-QUE-001,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,134
CF-QUE-001,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,134
CF-QUE-002,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-QUE-002,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,135
CF-QUE-002,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,135
CF-QUE-002,constraint,SPEC-34,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,135
CF-QUE-002,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,135
CF-QUE-003,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-QUE-003,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,136
CF-R2-001,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-R2-001,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,122
CF-R2-001,constraint,SPEC-22,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,122
CF-R2-001,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,122
CF-R2-001,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,122
CF-R2-002,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-R2-002,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,123
CF-R2-002,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,123
CF-R2-002,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,123
CF-R2-003,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-R2-003,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,124
CF-R2-003,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,124
CF-R2-004,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-R2-004,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,125
CF-R2-004,constraint,SPEC-40,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,125
CF-R2-005,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-R2-005,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,126
CF-R2-006,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-R2-006,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,127
CF-R2-006,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,127
CF-R2-007,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-R2-007,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,128
CF-R2-007,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,128
CF-R2-007,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,128
CF-WKR-001,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-WKR-001,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,42
CF-WKR-001,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,42
CF-WKR-001,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,42
CF-WKR-002,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-WKR-002,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,43
CF-WKR-002,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,43
CF-WKR-002,constraint,SPEC-32,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,43
CF-WKR-002,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,43
CF-WKR-003,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-WKR-003,constraint,SPEC-13,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,44
CF-WKR-003,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,44
CF-WKR-003,constraint,SPEC-30,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,44
CF-WKR-003,constraint,SPEC-31,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,44
CF-WKR-003,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,44
CF-WKR-003,constraint,SPEC-42,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,44
CF-WKR-004,constraint,EVID-GOV-001,evidence,evidenced_by,13,active,spec/framework/44-verification-and-evidence-register.md,50
CF-WKR-004,constraint,SPEC-21,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,45
CF-WKR-004,constraint,SPEC-33,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,45
CF-WKR-004,constraint,SPEC-41,spec,owned_by_spec,13,active,spec/framework/13-cloudflare-platform-constraint-register.md,45
